id;nombre;categoria;precio;imagen
7622300865641;GELATINA ROYAL LIGHT NARANJA X 25 GR;;62.000;
7622300871468;FLAN ROYAL DULCE DE LECHE X 40 GR;;37.900;
7622300871581;FLAN ROYAL LIGHT VAINILLA X 16 GR;;119.550;
7622300871949;POSTRE ROYAL DULCE DE LECHE X 75 GR;;1120.000;
7622300872892;JUGO CLIGHT LIMONADA C/STEVIA X 7.5 GR;;85.000;
7622300872922;JUGO CLIGHT MANZANA DELICIOSA C/STEVIA X 7.5 GR;;85.000;
7622300874797;JUGO TANG FRESH UVA X 25 GR;;85.000;
7622300874827;JUGO TANG FRESH MANDARINA X 25 GR;;85.000;
763;PAN CON SALVADO INTEGRAL BETY X 3U;;550.000;
7630047676062;CAPSULA NESPRESSO NAPOLI X 10U;;2925.000;
7630047677724;CAPSULA NESPRESSO VENEZIA X 10U;;3250.000;
7630054474606;CAPSULA NESPRESSO FIRENZE ARPEGGIO X 10U;;3250.000;
7630054475702;CAPSULA NSPRESSO PALERMO KAZAAR X 10U;;3250.000;
7630054488306;CAPSULA NESPRESSO LIVANTO X 10U;;2925.000;
7630054494116;CAPSULA NESPRESSO SHANGHAI LUNGO X 10U;;2925.000;
7630311511525;CAPSULA NESPRESSO PARIS ESPRESSO X 10U;;3250.000;
7630311511723;CAPSULA NESPRESSO RIO DE JANEIRO X 10U;;3250.000;
7630311549719;CAPSULA NESPRESSO INDIA X 10U;;3250.000;
7630428710026;CAPSULA NESPRESSO ISTANBUL ESPRESSO X 10U;;3250.000;
7630477801812;CAPSULA NESPRESSO BS AS LUNGO X 10U;;2925.000;
764;PALMERITAS BETY X 200GR;;4050.000;
7640159925491;CAPSULA NESPRESSO COSI X 10U;;3250.000;
766;ALFAJORCITOS MAIZENA/CHOCO REG.ROSARINO X 5U;;270.000;
767;MERLUZA REBOZADA FINAS HIERBAS X 500GR;;975.000;
768;CANELONES ABUELA ELVIRA X 6U;;2720.000;
769;PAN TORPEDO BETY CHICO;;514.000;
770;PAN P/PANCHOS GAUCHITO X 6U;;72.000;
7700000000001;MATE COCIDO NOBLEZA GAUCHA X 50U;;295.000;
7702048144656;LAMPARA HALOGENA SYLVANIA X 53W;;114.000;
771;PAN P/HAMBURGUESA GAUCHITO X 4U;;72.000;
772;PAN P/HAMBURGUESA GAUCHITO X 8U;;234.000;
773;PAN HAMBURGUESA GAUCHITO X 1U;;15.000;
7730241003661;YERBA CANARIAS X 500GR;;6800.000;
774;PAN PANCHOS GAUCHITO X 1U;;13.000;
775;PAN MINI HAMBURGUESA GAUCHITO X 1U;;11.000;
776;CHURRINCHES BETY;;4050.000;
777;NEVADITOS BETY;;260.000;
778;BANDEJA ALF. CHOCOLATE BETY X 12;;780.000;
7790022000111;ARROZ PELEADOR X 1 KG;;2030.000;
7790022000128;ARROZ PELEADOR X 500 GR;;1160.000;
7790036001067;MANI SALADO BIG CHEESE X 30 GR;;0.767;
7790036001159;PAPAS FRITAS BIG CHEESE X 20 GR;;0.702;
7790036001326;LECHE LARGA VIDA BAGGIO X 1LT ;;430.000;
7790036004914;PURE DE TOMATES 7 DIAS X 210GR;;430.000;
7790036006505;CHOCOLATADA SHAKE BAGGIO X 330 ML;;12.200;
7790036006659;CAPPUCCINO LATTE BAGGIO X 1LT;;20.200;
7790036006666;BAGGIO LATTE CAPPUCCINO X 200ML;;6.600;
7790036006727;PURE DE TOMATE LA HUERTA X 133 GR;;6.200;
7790036008912;EDULCORANTE SI DIET X 400ML;;35.650;
7790036020204;EDULCORANTE SI DIET X 250;;29.800;
7790036020211;EDULCORANTE SI DIET X 500 ML;;3200.000;
7790036020235;EDULCORANTE SI DIET X 600 ML;;49.150;
7790036567440;PURE DE TOMATE LA HUERTA X 530 GR;;940.000;
7790036948188;EDULCORANTE SI DIET X 200 ML ;;1790.000;
7790036948294;CHOCOLATADA BAGGIO X 1LT;;38.000;
7790036972169;ACEITE OLIVA LA POSTA DEL OLIVO EXT VIRGEN X 250ML;;2225.000;
7790036972602;CHOCOLATADA BAGGIO X 200;;12.000;
7790036973036;PURE DE TOMATE LA HUERTA X 210 G;;550.000;
7790036975092;EDULCORANTE SI DIET STEVIA X 500ML;;1680.000;
7790040047020;CRIOLLITAS LACTEADAS X 354 GR;;8.021;
7790040923904;SALADIX 4 QUESOS X 30 GR;;1.742;
7790040938809;SALADIX JAMÓN AHUMADO X 80 GR;;5.304;
7790045001584;COPOS DE MAIZ GRANIX TRADICIONAL X 160 GR;;3.900;
7790050987033;JUGO CLIGHT POMELO-LIMON;;85.000;
7790050987651;JUGO CLIGHT LIMA-LIMON;;20.000;
7790060012077;HARINA DE TRIGO FAVORITA 0000 X 1 KG;;4.264;
7790060023684;ACEITE COCINERO GIRASOL X 1.5 LTS;;4490.000;
7790060043224;ARROZ CÓNDOR FINO X 500 GR;;3.380;
7790060084159;VITINA LUCCHETTI X 500 GR;;7.202;
7790060100798;YERBA NOBLEZA GAUCHA SEMI X 500 GR;;5.109;
7790060234868;ACEITE COCINERO MEZCLA X 900ML;;78.000;
7790070011015;BLANCAFLOR PIZZA TIPO CASERA X 500 GR;;4.212;
7790070012050;ACEITE COCINERO GIRASOL X 900 ML ;;2860.000;
7790070016201;BLANCAFLOR TORTAS FRITAS X 400 GR;;3.536;
7790070016300;PATITAS DE POLLO GRANJA DEL SOL X 400GR;;100.850;
7790070018748;PATITAS DE J Y Q GRANJA DEL SOL X 400 GR;;83.750;
7790070030955;BOCADITOS DE POLLO G DL SOL X 400GR;;81.950;
7790070031389;CROQUETAS DE BROCOLI GRANJA DEL SOL X 400GR;;76.250;
7790070031396;CROQUETAS DE PAPA Y QUESO G DEL SOL X 400GR;;73.700;
7790070031440;CROQUETAS DE ESPINACA GRANJA DEL SOL X 400GR;;76.250;
7790070031808;MILANESA DE SOJA G. DEL SOL CASERAS X 4;;68.000;
7790070033154;MILANESA DE ARROZ C/VEG G. DEL SOL X 330GR;;67.950;
7790070226372;ACEITE DE OLIVA COCINERO EXT VIRGEN X 1LT;;1882.000;
7790070227539;ACEITE DE GIRASOL LA PATRONA X 900;;5.551;
7790070228611;ACETO COCINERO X 500ML;;5810.000;
7790070228666;FRITOLIM COCINERO CLASICO X 120 gr;;149.000;
7790070228680;FRITOLIM COCINERO OLIVA X 120GR;;232.000;
7790070265463;ADERESO P/ ENSALADA COCINERO CLASICO X500ML;;2590.000;
7790070317476;LASAGNA MATARAZZO X 500GR;;221.000;
7790070318350;FIDEOS MOÑOS LUCCHETTI X 500GR;;78.000;
7790070318633;FIDEOS MATARAZZO PENNE RIGATE X 500 GR;;128.000;
7790070318879;VITINA CLASICA NUTRIVIT X 500GR;;156.000;
7790070320827;FIDEOS MATARAZZO TIRABUZON X 500GR;;1450.000;
7790070321329;FIDEO DON FELIPE SPAGHETTI X 500 GR;;57.000;
7790070321336;FIDEOS DON FELIPE TIRABUZON X 500 GR;;49.000;
7790070321343;FIDEO DON FELIPE MOSTACHOLES RAYADOS X 500 GR;;57.000;
7790070321794;FIDEOS MATARAZZO PENNE RIGATE LIBRE GLUTEN X 500 GR;;164.000;
7790070336361;FIDEOS LUCCHETTI PENNE RIGATE Nº45 X 500GR;;1115.000;
7790070342058;FIDEOS FAVORITA CODITO X 500GR;;1065.000;
7790070406798;ARROZ INTEGRAL LUCCHETTI X 500 GR;;6.591;
7790070408686;VITINA  CLÁSICA LUCCHETTI X 250 GR;;3.536;
7790070410139;BIZCOCHUELO EXQUISITA VAINILLA X 540GR;;229.000;
7790070410610;ARROZ LUCCHETTI X 500 GR;;79.000;
7790070411488;PAN RALLADO PREFERIDO X 500 GR;;96.000;
7790070411556;PAN RALLADO PREFERIDO X 1KG;;208.000;
7790070411716;ARROZ GALLO ORO CAJA X 1 KG;;211.000;
7790070411747;ARROZ GALLO LARGO FINO CAJA X 1KG;;395.000;
7790070411822;ARROZ LUCCHETTI PARBOIL X 500GR;;134.000;
7790070411846;ARROZ GALLO DOBLE CAROLINA X 500 GR;;345.000;
7790070411853;ARROZ GALLO INTEGRAL X 500 GR;;165.000;
7790070413765;ARROZ GALLO PREP 4 QUESOS X 240GR;;296.000;
7790070415349;MILANESA DE SOJA LUCCHETTI X 2U;;19.150;
7790070415899;ARROZ SUSARELLI ROJO X 500 GR;;40.600;
7790070416179;ARROZ GALLO ORO BOLSA X 1KG;;2600.000;
